=== Snake RL Training Log ===
Started: 2026-05-30 14:41:10
Log file: logs/training_20260530_144110.log
========================================
Hyperparameters:
  Grid: 20x20
  Network: 11 → 256 → 3
  LR: 0.001, Gamma: 0.9
  Epsilon: 1.0 → 0.01 (decay=0.99)
  Batch: 1000, Memory: 100000
  Rewards: eat=10, die=-10, step=0
========================================
Training dimulai! Tekan Ctrl+C atau tutup window untuk berhenti.

[Episode  106] Score:   0 | Record:   3 | Mean:   0.33 | Epsilon: 0.3446 | Memory:   7510
[Episode  107] Score:   1 | Record:   3 | Mean:   0.34 | Epsilon: 0.3412 | Memory:   7584
[Episode  108] Score:   0 | Record:   3 | Mean:   0.33 | Epsilon: 0.3378 | Memory:   7600
[Episode  109] Score:   1 | Record:   3 | Mean:   0.34 | Epsilon: 0.3344 | Memory:   7693
[Episode  110] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.3310 | Memory:   7793
[Episode  111] Score:   2 | Record:   3 | Mean:   0.35 | Epsilon: 0.3277 | Memory:   7840
[Episode  112] Score:   0 | Record:   3 | Mean:   0.35 | Epsilon: 0.3244 | Memory:   7851
[Episode  113] Score:   0 | Record:   3 | Mean:   0.35 | Epsilon: 0.3212 | Memory:   7886
[Episode  114] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.3180 | Memory:   7927
[Episode  115] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.3148 | Memory:   7982
[Episode  116] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.3117 | Memory:   8011
[Episode  117] Score:   1 | Record:   3 | Mean:   0.34 | Epsilon: 0.3085 | Memory:   8081
[Episode  118] Score:   1 | Record:   3 | Mean:   0.35 | Epsilon: 0.3055 | Memory:   8117
[Episode  119] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.3024 | Memory:   8163
[Episode  120] Score:   0 | Record:   3 | Mean:   0.34 | Epsilon: 0.2994 | Memory:   8184
[Episode  121] Score:   1 | Record:   3 | Mean:   0.35 | Epsilon: 0.2964 | Memory:   8224
[Episode  122] Score:   1 | Record:   3 | Mean:   0.35 | Epsilon: 0.2934 | Memory:   8283
[Episode  123] Score:   0 | Record:   3 | Mean:   0.35 | Epsilon: 0.2905 | Memory:   8297
[Episode  124] Score:   1 | Record:   3 | Mean:   0.35 | Epsilon: 0.2876 | Memory:   8337
[Episode  125] Score:   2 | Record:   3 | Mean:   0.37 | Epsilon: 0.2847 | Memory:   8377
[Episode  126] Score:   0 | Record:   3 | Mean:   0.37 | Epsilon: 0.2819 | Memory:   8415
[Episode  127] Score:   2 | Record:   3 | Mean:   0.38 | Epsilon: 0.2790 | Memory:   8461
